venue_id,venue_name,venue_address,venue_city,venue_state,venue_type,phone_number
82,Realcube,031 Luster Hill,Dallas,Texas,Grocery,972-848-4996
83,Jabbersphere,593 Lake View Place,Fort Lauderdale,Florida,Beauty,954-306-6592
84,Jabbercube,4012 Judy Place,Jacksonville,Florida,Baby,904-537-4869
85,Chatterpoint,38 Morning Street,Indianapolis,Indiana,Baby,317-671-2719
86,Edgeify,2 Boyd Circle,Birmingham,Alabama,Music,205-439-3266
87,Dynava,54 Warner Street,Arlington,Virginia,Kids,571-574-6059
88,Zoozzy,9 Everett Plaza,Philadelphia,Pennsylvania,Beauty,215-247-8265
89,Zoomdog,192 Calypso Crossing,Birmingham,Alabama,Sports,205-634-2992
90,Wikizz,4 Armistice Parkway,Pittsburgh,Pennsylvania,Sports,-520-6662
91,Feedfish,4887 Rigney Court,Sioux City,Iowa,Shoes,712-718-2378
92,Oyope,49 Sutteridge Way,Washington,District of Columbia,Toys,202-134-4225
93,Janyx,45339 Riverside Junction,Kansas City,Missouri,Games,816-923-2891
94,Dabtype,074 Forest Run Way,Erie,Pennsylvania,Health,814-818-1499
95,Gabvine,36 Arkansas Pass,San Antonio,Texas,Tools,210-556-8072
96,Jetwire,76 Acker Crossing,Mobile,Alabama,Kids,251-699-5319
97,Abata,1176 Northport Court,New York City,New York,Beauty,646-854-9678
98,Digitube,55 Logan Lane,Seattle,Washington,Tools,206-224-5668
99,Tazz,3 Petterle Court,Bloomington,Indiana,Health,812-991-6011
100,Gabtune,830 Oakridge Circle,Saint Petersburg,Florida,Toys,727-599-5204
